[16/Feb/2016 20:51:15] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = ('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:15.226346'); args=('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:15.226346')
[16/Feb/2016 20:51:15] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:15] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "twitter_twitterkeys"."id", "twitter_twitterkeys"."consumer_key", "twitter_twitterkeys"."consumer_secret", "twitter_twitterkeys"."access_token", "twitter_twitterkeys"."access_token_secret", "twitter_twitterkeys"."user_id" FROM "twitter_twitterkeys" WHERE "twitter_twitterkeys"."user_id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:34] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = ('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:34.686434'); args=('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:34.686434')
[16/Feb/2016 20:51:34] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:34] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "twitter_twitterkeys"."id", "twitter_twitterkeys"."consumer_key", "twitter_twitterkeys"."consumer_secret", "twitter_twitterkeys"."access_token", "twitter_twitterkeys"."access_token_secret", "twitter_twitterkeys"."user_id" FROM "twitter_twitterkeys" WHERE "twitter_twitterkeys"."user_id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:40] DEBUG [django.db.backends:89] (0.006) QUERY = 'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = ('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:40.604457'); args=('lzmfgzjwcrtttu4p1k4cthfqgid2byg0', '2016-02-16 19:51:40.604457')
[16/Feb/2016 20:51:40] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:40] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "twitter_twitterkeys"."id", "twitter_twitterkeys"."consumer_key", "twitter_twitterkeys"."consumer_secret", "twitter_twitterkeys"."access_token", "twitter_twitterkeys"."access_token_secret", "twitter_twitterkeys"."user_id" FROM "twitter_twitterkeys" WHERE "twitter_twitterkeys"."user_id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.001) QUERY = 'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
[16/Feb/2016 20:51:41] DEBUG [django.db.backends:89] (0.000) QUERY = 'SELECT "twitter_twitterkeys"."id", "twitter_twitterkeys"."consumer_key", "twitter_twitterkeys"."consumer_secret", "twitter_twitterkeys"."access_token", "twitter_twitterkeys"."access_token_secret", "twitter_twitterkeys"."user_id" FROM "twitter_twitterkeys" WHERE "twitter_twitterkeys"."user_id" = %s' - PARAMS = (1,); args=(1,)
